69,충청남도 공주시,충청권,기초단체,"111,017","55,006","56,011",98.2 : 100,
70,경기도 양평군,수도권,기초단체,"109,359","54,876","54,483",100.7 : 100,
71,전라북도 정읍시,호남권,기초단체,"109,263","54,322","54,941",98.9 : 100,
72,경상북도 영주시,영남권,기초단체,"108,443","54,415","54,028",100.7 : 100,
73,전라남도 나주시,호남권,기초단체,"105,579","52,440","53,139",98.7 : 100,
74,충청북도 음성군,충청권,기초단체,"104,509","57,136","47,373",120.6 : 100,
75,경상남도 밀양시,영남권,기초단체,"103,894","50,665","53,229",95.2 : 100,
76,충청남도 홍성군,충청권,기초단체,"103,048","51,438","51,610",99.7 : 100,
77,충청남도 보령시,충청권,기초단체,"100,922","52,077","48,845",106.6 : 100,
78,전라북도 완주군,호남권,기초단체,"98,528","50,529","47,999",105.3 : 100,
79,경상북도 상주시,영남권,기초단체,"98,189","48,296","49,893",98.8 : 100,
80,경상북도 영천시,영남권,기초단체,"97,675","49,918","47,757",104.5 : 100,
81,경기도 동두천시,수도권,기초단체,"97,373","48,666","48,707",99.9 : 100,
82,강원도 동해시,강원권,기초단체,"89,151","45,347","43,804",103.5 : 100,
83,전라북도 김제시,호남권,기초단체,"82,358","40,867","41,491",98.5 : 100,
84,전라남도 무안군,호남권,기초단체,"81,420","41,022","40,398",101.5 : 100,
85,전라북도 남원시,호남권,기초단체,"79,282","38,900","40,382",96.3 : 100,
86,충청북도 진천군,충청권,기초단체,"79,186","42,564","36,622",116.2 : 100,
87,충청남도 예산군,충청권,기초단체,"78,678","39,916","38,762",103 : 100,
88,강원도 속초시,강원권,기초단체,"78,618","38,962","39,656",98.2 : 100,
89,경상북도 문경시,영남권,기초단체,"70,016","34,275","35,741",95.9 : 100,
90,경상남도 함안군,영남권,기초단체,"67,906","35,444","32,462",109.2 : 100,
91,강원도 삼척시,강원권,기초단체,"67,860","35,066","32,794",106.9 : 100,
92,강원도 홍천군,강원권,기초단체,"67,168","34,331","32,837",104.5 : 100,
93,전라남도 해남군,호남권,기초단체,"67,123","33,016","34,107",96.8 : 100,
94,충청남도 부여군,충청권,기초단체,"67,028","33,215","33,813",98.2 : 100,
95,경상남도 창녕군,영남권,기초단체,"62,544","31,527","31,017",101.6 : 100,
96,충청남도 태안군,충청권,기초단체,"61,170","31,411","29,759",105.6 : 100,
97,전라남도 고흥군,호남권,기초단체,"60,984","29,552","31,432",94 : 100,
98,전라남도 화순군,호남권,기초단체,"60,566","29,246","31,320",93.4 : 100,
99,경상남도 거창군,영남권,기초단체,"60,083","29,491","30,592",96.4 : 100,
100,경기도 가평군,수도권,기초단체,"59,548","30,169","29,379",102.7 : 100,
101,전라남도 영암군,호남권,기초단체,"57,679","30,540","27,139",112.5 : 100,
102,충청남도 금산군,충청권,기초단체,"55,672","28,047","27,625",101.5 : 100,
103,전라북도 고창군,호남권,기초단체,"54,947","27,298","27,649",98.7 : 100,
104,경기도 과천시,수도권,기초단체,"53,853","26,267","27,316",96.2 : 100,
105,충청남도 서천군,충청권,기초단체,"53,321","26,510","26,811",98.9 : 100,
106,경상남도 고성군,영남권,기초단체,"52,439","26,681","25,758",103.6 : 100,
107,전라북도 부안군,호남권,기초단체,"51,249","25,399","25,850",98.3 : 100,
108,경상북도 의성군,영남권,기초단체,"50,082","24,203","25,879",93.5 : 100,
109,충청북도 옥천군,충청권,기초단체,"49,898","24,987","24,911",100.3 : 100,
110,전라남도 영광군,호남권,기초단체,"49,670","24,720","24,950",99.1 : 100,
111,충청북도 영동군,충청권,기초단체,"49,034","24,410","24,624",99.1 : 100,
112,경상북도 울진군,영남권,기초단체,"48,504","24,852","23,652",105.1 : 100,
113,전라남도 완도군,호남권,기초단체,"48,332","24,865","23,467",106 : 100,
114,경상북도 예천군,영남권,기초단체,"46,321","22,674","23,647",95.9 : 100,
115,강원도 철원군,강원권,기초단체,"44,770","23,792","20,978",113.4 : 100,
116,강원도 태백시,강원권,기초단체,"44,733","22,638","22,095",102.5 : 100,
117,경기도 연천군,수도권,기초단체,"43,990","23,259","20,731",112.2 : 100,
118,전라남도 담양군,호남권,기초단체,"43,781","21,631","22,150",97.7 : 100,
119,경상남도 합천군,영남권,기초단체,"43,449","20,657","22,792",90.6 : 100,
120,경상남도 하동군,영남권,기초단체,"43,441","21,214","22,227",95.4 : 100,
121,강원도 횡성군,강원권,기초단체,"43,211","21,839","21,372",102.2 : 100,
122,경상남도 남해군,영남권,기초단체,"42,986","20,813","22,173",93.9 : 100,
123,충청남도 계룡시,충청권,기초단체,"41,858","20,761","21,097",98.4 : 100,
124,전라남도 장성군,호남권,기초단체,"41,663","20,843","20,820",100.1 : 100,
